,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3384,2005,Y2,"A. Gifford,Miller",Other,6/15/2005 00:00:00,New York,NY,10001.0,360,Office Expenses,Office Expenses
3385,2005,Y2,"A. Gifford,Miller",Other,4/1/2005 00:00:00,New York,NY,10001.0,369,Office Expenses,Office Expenses
3386,2005,605,"Michael,Bloomberg",Other,11/3/2005 00:00:00,Forest Hills,NY,11375.0,200,Other,Other: explntion
3387,2005,AY,"Fernando,Ferrer",Corporation,7/2/2005 00:00:00,Austin,TX,78759.0,35073,Professional Services,Prof. Srvcs.
3388,2005,AY,"Fernando,Ferrer",Corporation,9/23/2004 00:00:00,Austin,TX,78759.0,6179,Professional Services,Prof. Srvcs.
3389,2005,AY,"Fernando,Ferrer",Corporation,9/23/2004 00:00:00,Austin,TX,78759.0,2060,Professional Services,Prof. Srvcs.
3390,2005,AY,"Fernando,Ferrer",Corporation,6/11/2004 00:00:00,Austin,TX,78759.0,24300,Professional Services,Prof. Srvcs.
3391,2005,AY,"Fernando,Ferrer",Corporation,4/15/2004 00:00:00,Austin,TX,78759.0,10763,Professional Services,Prof. Srvcs.
3392,2005,AY,"Fernando,Ferrer",Corporation,4/15/2004 00:00:00,Austin,TX,78759.0,3587,Professional Services,Prof. Srvcs.
3393,2005,AY,"Fernando,Ferrer",Corporation,6/11/2004 00:00:00,Austin,TX,78759.0,8100,Professional Services,Prof. Srvcs.
3394,2005,AY,"Fernando,Ferrer",Individual,9/9/2005 00:00:00,Brooklyn,NY,11205.0,180,Campaign Workers Salaries,Campgn Wrkrs $$
3395,2005,AY,"Fernando,Ferrer",Individual,9/13/2005 00:00:00,Brooklyn,NY,11205.0,100,Campaign Workers Salaries,Campgn Wrkrs $$
3396,2005,AY,"Fernando,Ferrer",Individual,9/13/2005 00:00:00,Brooklyn,NY,11205.0,100,Campaign Workers Salaries,Campgn Wrkrs $$
3397,2005,AY,"Fernando,Ferrer",Individual,9/9/2005 00:00:00,Brooklyn,NY,11205.0,180,Campaign Workers Salaries,Campgn Wrkrs $$
3398,2005,Y2,"A. Gifford,Miller",Individual,8/27/2005 00:00:00,Queens,NY,11436.0,360,Petition Expenses,Petition Expns.
3399,2005,Y2,"A. Gifford,Miller",Individual,8/19/2005 00:00:00,Queens,NY,11436.0,630,Campaign Workers Salaries,Campgn Wrkrs $$
3400,2005,AY,"Fernando,Ferrer",Individual,11/4/2005 00:00:00,Jamaica,NY,11436.0,280,Campaign Workers Salaries,Campgn Wrkrs $$
3401,2005,Y2,"A. Gifford,Miller",Individual,8/5/2005 00:00:00,Queens,NY,11436.0,210,Petition Expenses,Petition Expns.
3402,2005,Y2,"A. Gifford,Miller",Individual,8/12/2005 00:00:00,Queens,NY,11436.0,300,Petition Expenses,Petition Expns.
3403,2005,605,"Michael,Bloomberg",Individual,1/9/2006 00:00:00,Cold Spring,NY,10516.0,1000,Office Expenses,Office Expenses
3404,2005,605,"Michael,Bloomberg",Individual,10/28/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3405,2005,605,"Michael,Bloomberg",Individual,10/28/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3406,2005,605,"Michael,Bloomberg",Individual,10/19/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3407,2005,605,"Michael,Bloomberg",Individual,10/19/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3408,2005,605,"Michael,Bloomberg",Individual,11/18/2005 00:00:00,Cold Spring,NY,10516.0,36,Advance Repayment,Advance Repaymnt
3409,2005,605,"Michael,Bloomberg",Individual,11/3/2005 00:00:00,Cold Spring,NY,10516.0,223,Advance Repayment,Advance Repaymnt
3410,2005,605,"Michael,Bloomberg",Individual,9/30/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3411,2005,605,"Michael,Bloomberg",Individual,9/30/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3412,2005,605,"Michael,Bloomberg",Individual,9/14/2005 00:00:00,Cold Spring,NY,10516.0,500,Office Expenses,Office Expenses
3413,2005,605,"Michael,Bloomberg",Individual,9/14/2005 00:00:00,Cold Spring,NY,10516.0,500,Office Expenses,Office Expenses
3414,2005,605,"Michael,Bloomberg",Individual,9/14/2005 00:00:00,Cold Spring,NY,10516.0,500,Office Expenses,Office Expenses
3415,2005,605,"Michael,Bloomberg",Individual,9/14/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3416,2005,605,"Michael,Bloomberg",Individual,9/14/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3417,2005,605,"Michael,Bloomberg",Individual,11/29/2005 00:00:00,Cold Spring,NY,10516.0,400,Office Expenses,Office Expenses
3418,2005,605,"Michael,Bloomberg",Individual,11/29/2005 00:00:00,Cold Spring,NY,10516.0,900,Office Expenses,Office Expenses
3419,2005,605,"Michael,Bloomberg",Individual,11/29/2005 00:00:00,Cold Spring,NY,10516.0,900,Office Expenses,Office Expenses
3420,2005,BB,"Anthony,Weiner",Corporation,6/23/2005 00:00:00,Brooklyn,NY,11223.0,109,Office Expenses,Office Expenses
3421,2005,GT,"Thomas,Ognibene",Individual,7/18/2005 00:00:00,Staten Island,NY,10306.0,380,Petition Expenses,Petition Expns.
