,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3224,2021,2242,"Dianne,Morales",Individual,6/30/2021,,,,923,Campaign Workers Salaries,Campgn Wrkrs $$
3225,2021,2242,"Dianne,Morales",Individual,5/28/2021,,,,2030,Campaign Workers Salaries,Campgn Wrkrs $$
3226,2021,2473,"Vitaly,Filipchenko",Individual,3/10/2021,North Massapequa,NY,11758.0,150,Campaign Workers Salaries,Campgn Wrkrs $$
3227,2021,1545,"Eric,Adams",Individual,6/25/2021,Jamaica,NY,11412.0,85,Campaign Workers Salaries,Campgn Wrkrs $$
3228,2021,1545,"Eric,Adams",Individual,6/25/2021,Jamaica,NY,11412.0,68,Campaign Workers Salaries,Campgn Wrkrs $$
3229,2021,2618,"Curtis,Sliwa",Limited Liability Company,7/28/2021,Pine Springs,MN,55128.0,8332,Other,Other: explntion
3230,2021,2618,"Curtis,Sliwa",Limited Liability Company,8/3/2021,Pine Springs,MN,55128.0,10330,Other,Other: explntion
3231,2021,2574,"Fernando,Mateo",Corporation,7/28/2021,Shirley,NY,11967.0,24,Other,Other: explntion
3232,2021,2393,"Maya,Wiley",Limited Liability Company,6/16/2021,New York,NY,10001.0,90,Fundraising,Fundraising
3233,2021,2303,"Shaun,Donovan",Corporation,12/23/2020,Oakland,CA,94612.0,32250,Polling Costs,Polling Costs
3234,2021,2303,"Shaun,Donovan",Corporation,4/5/2021,Oakland,CA,94612.0,15500,Polling Costs,Polling Costs
3235,2021,2303,"Shaun,Donovan",Corporation,5/14/2021,Oakland,CA,94612.0,39000,Polling Costs,Polling Costs
3236,2021,1991,"Aaron,Foldenauer",Candidate,12/22/2018,New York,NY,10006.0,34,Advance Repayment,Advance Repaymnt
3237,2021,1991,"Aaron,Foldenauer",Candidate,1/11/2021,New York,NY,10006.0,151,Advance Repayment,Advance Repaymnt
3238,2021,1991,"Aaron,Foldenauer",Candidate,3/11/2021,New York,NY,10006.0,65,Advance Repayment,Advance Repaymnt
3239,2021,1991,"Aaron,Foldenauer",Candidate,6/7/2021,New York,NY,10006.0,65,Advance Repayment,Advance Repaymnt
3240,2021,2242,"Dianne,Morales",Individual,6/8/2021,,,,200,Other,Other: explntion
3241,2021,2546,"Andrew,Yang",Other,6/9/2021,Bronx,NY,10473.0,27,Office Expenses,Office Expenses
3242,2021,2546,"Andrew,Yang",Other,5/28/2021,Bronx,NY,10473.0,15,Office Expenses,Office Expenses
3243,2021,2242,"Dianne,Morales",Corporation,10/23/2019,,,,122,Fundraising,Fundraising
3244,2021,148,"Scott,Stringer",Corporation,12/11/2018,Brooklyn,NY,11201.0,18,Other,Other: explntion
