,Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
65,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,200.76,Other,Other: explntion
66,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,145.11,Other,Other: explntion
67,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,72.92,Other,Other: explntion
68,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,223.53,Other,Other: explntion
69,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,106.44,Other,Other: explntion
70,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,-23.98,,
71,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,604.41,Other,Other: explntion
72,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,562.45,Other,Other: explntion
73,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,388.55,Other,Other: explntion
74,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,388.55,Other,Other: explntion
75,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,388.55,Other,Other: explntion
76,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,388.55,Other,Other: explntion
77,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,382.55,Other,Other: explntion
78,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,382.55,Other,Other: explntion
79,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,364.57,Other,Other: explntion
80,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,364.57,Other,Other: explntion
81,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,364.57,Other,Other: explntion
82,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,562.45,Other,Other: explntion
83,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,550.21,Other,Other: explntion
84,2009,1286,"Kevin,Coenen",Corporation,New York,NY,10038.0,567.0,Other,Other: explntion
85,2009,51,"Tony,Avella",Other,Brooklyn,NY,11211.0,3500.0,Campaign Consultants,Campgn Consuls.
86,2009,260,"William,Thompson, Jr.",Corporation,Boston,MA,2241.0,3500.0,Radio Ads,Radio Ads.
87,2009,260,"William,Thompson, Jr.",Individual,South Ozone Park,NY,11420.0,240.0,Campaign Workers Salaries,Campgn Wrkrs $$
88,2009,1317,"Billy,Talen",Other,,,,19.89,Other,Other: explntion
89,2009,1317,"Billy,Talen",Other,,,,19.69,Other,Other: explntion
90,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11211.0,1959.75,Campaign Literature,Campgn Lit.
