,Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
21,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
22,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
23,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,3483.87,Office Rent,Office Rent
24,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
25,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
26,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
27,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
28,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
29,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
30,2009,605,"Michael,Bloomberg",Corporation,New York,NY,10016,55.42,Office Expenses,Office Expenses
31,2009,260,"William,Thompson, Jr.",Limited Liability Company,Astoria,NY,11106,100,Television Ads,Television Ads.
32,2009,260,"William,Thompson, Jr.",Party Committee,Brooklyn,NY,11234,150,Printing Expenses,Print Ads
33,2009,51,"Tony,Avella",Corporation,Whitestone,NY,11357,1029.57,Fundraising,Fundraising
34,2009,260,"William,Thompson, Jr.",Corporation,Lawrence,NY,11559,400,Printing Expenses,Print Ads
35,2009,260,"William,Thompson, Jr.",Corporation,Lawrence,NY,11559,400,Printing Expenses,Print Ads
36,2009,260,"William,Thompson, Jr.",Party Committee,Queens,NY,11364,150,Printing Expenses,Print Ads
37,2009,260,"William,Thompson, Jr.",Party Committee,Queens,NY,11364,200,Printing Expenses,Print Ads
38,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10004,883.99,Other,Other: explntion
39,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,9200,Office Rent,Office Rent
40,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,-10400,,
41,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,-8000,,
42,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,-500,,
43,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,119.71,Office Expenses,Office Expenses
44,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,500,Other,Other: explntion
45,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,500,Other,Other: explntion
46,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,1548.39,Office Rent,Office Rent
47,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,8000,Office Rent,Office Rent
48,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,4000,Office Rent,Office Rent
49,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,53.94,Office Expenses,Office Expenses
50,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,10400,Office Rent,Office Rent
51,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,9200,Office Rent,Office Rent
52,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,8586.67,Office Rent,Office Rent
53,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,9200,Office Rent,Office Rent
54,2009,605,"Michael,Bloomberg",Limited Liability Company,New York,NY,10024,9200,Office Rent,Office Rent
55,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10003,54,Other,Other: explntion
56,2009,605,"Michael,Bloomberg",Limited Liability Company,Brooklyn,NY,11243,1750,Other,Other: explntion
57,2009,605,"Michael,Bloomberg",Limited Liability Company,Brooklyn,NY,11243,1400,Other,Other: explntion
58,2009,605,"Michael,Bloomberg",Limited Liability Company,Brooklyn,NY,11243,175,Other,Other: explntion
