Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,596.89,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,726.25,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,279.65,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,219.33,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1811.06,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,2350.1,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,2350.11,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,2350.1,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,2350.11,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1220.98,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,399.5,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,199.85,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1220.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1220.98,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1157.84,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,1932.99,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,232.42,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,45.69,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,262.22,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Brooklyn,NY,11201,663.95,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Kingsport,TN,37660,250.41,Advance Repayment,Advance Repaymnt
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,1625,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Other,New York,NY,10038,6500,Office Rent,Office Rent
2013,,"John,Liu",Corporation,New York,NY,10016,9496,Television Ads,Television Ads.
2013,,"John,Liu",Corporation,New York,NY,10016,700,Television Ads,Television Ads.
2013,,"John,Liu",Corporation,New York,NY,10016,7122,Television Ads,Television Ads.
2013,1690,"Joseph,Lhota",Individual,New York,NY,10128,111,Fundraising,Fundraising
2013,204,"Christine,Quinn",Individual,Charlotte,NC,28203,1725,Fundraising,Fundraising
2013,204,"Christine,Quinn",Individual,Charlotte,NC,28203,1725,Fundraising,Fundraising
2013,204,"Christine,Quinn",Individual,Charlotte,NC,28203,1725,Fundraising,Fundraising
2013,204,"Christine,Quinn",Individual,Charlotte,NC,28203,-1725,,
2013,204,"Christine,Quinn",Individual,Charlotte,NC,28203,-1725,,
2013,326,"Bill,de Blasio",Corporation,New York,NY,10019,42,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,New York,NY,10018,1000,Campaign Consultants,Campgn Consuls.
2013,1666,"Erick,Salgado",Corporation,New York,NY,10018,1000,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10022,272.62,Other,Other: explntion
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,19444.44,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,125000,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,117111.86,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,15000,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,15000,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,13626.86,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Limited Liability Company,New York,NY,10012,19750,Campaign Consultants,Campgn Consuls.
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,140,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,140,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,210,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,280,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,210,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,210,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,210,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,140,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,210,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,280,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,140,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Sal,Albanese",Individual,Bronx,NY,10467,350,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Corporation,,,,74,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,New York,NY,10033,500,Office Rent,Office Rent
2013,1666,"Erick,Salgado",Corporation,New York,NY,10033,1500,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,577.15,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,6037.83,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9667.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,18940.77,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,154.6,Office Expenses,Office Expenses
2013,1690,"Joseph,Lhota",Corporation,,,,9518,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,14809.61,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,1690,"Joseph,Lhota",Corporation,,,,9331.12,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,16760.9,Office Expenses,Office Expenses
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,10996.22,Office Expenses,Office Expenses
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,5438.23,Office Expenses,Office Expenses
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,10876.46,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,5438.23,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,5665.92,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,3461.35,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,3581.01,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,3461.25,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,3461.25,Office Rent,Office Rent
2013,,"Anthony,Weiner",Corporation,New York,NY,10170,3461.25,Office Rent,Office Rent
2013,1666,"Erick,Salgado",Individual,New York,NY,10029,100,Campaign Workers Salaries,Campgn Wrkrs $$
2013,1796,"Jack,Hidary",Individual,New York,NY,10036,111,Campaign Workers Salaries,Campgn Wrkrs $$
2013,1796,"Jack,Hidary",Individual,New York,NY,10036,158.4,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,Washington,DC,20001,10000,Campaign Consultants,Campgn Consuls.
2013,326,"Bill,de Blasio",Individual,Washington,DC,20001,10000,Campaign Consultants,Campgn Consuls.
2013,326,"Bill,de Blasio",Individual,Washington,DC,20001,4166,Professional Services,Prof. Srvcs.
2013,326,"Bill,de Blasio",Individual,Washington,DC,20001,5000,Professional Services,Prof. Srvcs.
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,27.45,Advance Repayment,Advance Repaymnt
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,113,Advance Repayment,Advance Repaymnt
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,750.56,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,743.12,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Bronx,NY,10456,1086.9,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"Anthony,Weiner",Individual,New York,NY,10034,11130,Campaign Consultants,Campgn Consuls.
2013,,"Anthony,Weiner",Individual,New York,NY,10034,1581,Campaign Consultants,Campgn Consuls.
2013,,"Anthony,Weiner",Individual,New York,NY,10034,150,Campaign Consultants,Campgn Consuls.
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10026,976.61,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10026,976.62,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10026,976.61,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10026,976.62,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10026,693.05,Campaign Workers Salaries,Campgn Wrkrs $$
2013,1690,"Joseph,Lhota",Individual,New York,NY,10033,340.18,Fundraising,Fundraising
