Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,1796,"Jack,Hidary",Corporation,7/7/2013,New York,NY,10001,111,Fundraising,Fundraising
2013,1796,"Jack,Hidary",Individual,8/28/2013,Brooklyn,NY,11221,3250,Campaign Consultants,Campgn Consuls.
2013,1796,"Jack,Hidary",Individual,10/2/2013,Brooklyn,NY,11221,3250,Campaign Consultants,Campgn Consuls.
2013,BB,"Anthony,Weiner",Corporation,8/7/2013,Santa Monica,CA,90404,20000,Polling Costs,Polling Costs
2013,260,"William,Thompson, Jr.",Corporation,4/24/2013,Uniondale,NY,11553,7907,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,11/27/2013,Uniondale,NY,11553,-991,,
2013,260,"William,Thompson, Jr.",Corporation,10/29/2011,New York,NY,10005,29,Other,Other: explntion
2013,FI,"John,Liu",Individual,11/14/2011,New York,NY,10021,3481,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Individual,11/4/2013,Brooklyn,NY,11209,1639,Advance Repayment,Advance Repaymnt
2013,BB,"Anthony,Weiner",Corporation,7/19/2013,Elmhurst,NY,11373,22,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,7/18/2013,New York,NY,10019,65,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,7/20/2013,New York,NY,10019,65,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,8/5/2013,New York,NY,10019,114,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,8/20/2013,New York,NY,10019,81,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,8/27/2013,New York,NY,10019,97,Other,Other: explntion
2013,1690,"Joseph,Lhota",Corporation,10/17/2013,New York,NY,10017,269,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,10/9/2013,New York,NY,10017,710,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,5/14/2012,New York,NY,10017,593,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,4/15/2013,New York,NY,10017,1004,Fundraising,Fundraising
2013,1690,"Joseph,Lhota",Individual,9/5/2013,New York,NY,10023,5000,Campaign Consultants,Campgn Consuls.
2013,1690,"Joseph,Lhota",Individual,9/17/2013,New York,NY,10023,5000,Campaign Consultants,Campgn Consuls.
2013,1690,"Joseph,Lhota",Individual,10/15/2013,New York,NY,10023,7500,Campaign Consultants,Campgn Consuls.
2013,1690,"Joseph,Lhota",Individual,11/15/2013,New York,NY,10023,7500,Campaign Consultants,Campgn Consuls.
2013,204,"Christine,Quinn",Individual,9/23/2013,Long Island City,NY,11109,3000,Campaign Consultants,Campgn Consuls.
2013,260,"William,Thompson, Jr.",Corporation,6/8/2012,Moonachie,NJ,07074,394,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Individual,9/25/2013,Brooklyn,NY,11201,5000,Office Rent,Office Rent
2013,326,"Bill,de Blasio",Individual,10/21/2013,Brooklyn,NY,11201,5000,Office Rent,Office Rent
2013,326,"Bill,de Blasio",Individual,11/25/2013,Brooklyn,NY,11201,6931,Office Rent,Office Rent
2013,204,"Christine,Quinn",Corporation,3/10/2013,Forest Hills,NY,11375,225,Other,Other: explntion
2013,204,"Christine,Quinn",Corporation,3/12/2013,Forest Hills,NY,11375,2,Other,Other: explntion
2013,204,"Christine,Quinn",Corporation,3/12/2013,Forest Hills,NY,11375,-2,,
2013,260,"William,Thompson, Jr.",Individual,8/16/2013,Old Westbury,NY,11568,3000,Campaign Consultants,Campgn Consuls.
2013,260,"William,Thompson, Jr.",Individual,8/16/2013,Old Westbury,NY,11568,140,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Corporation,11/4/2013,Boardman,OH,44512,63400,Professional Services,Prof. Srvcs.
