Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2017,2071,"Nicole,Malliotakis",Corporation,7/21/2017,Bronx,NY,10465,145,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,7/24/2017,Oakland,CA,94612,127,Professional Services,Prof. Srvcs.
2017,326,"Bill,de Blasio",Corporation,8/16/2017,Oakland,CA,94612,829,Professional Services,Prof. Srvcs.
2017,326,"Bill,de Blasio",Corporation,9/19/2017,Oakland,CA,94612,1038,Professional Services,Prof. Srvcs.
2017,326,"Bill,de Blasio",Corporation,11/7/2017,Oakland,CA,94612,816,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,11/7/2017,Oakland,CA,94612,1097,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,12/28/2017,Oakland,CA,94612,3536,Professional Services,Prof. Srvcs.
2017,326,"Bill,de Blasio",Corporation,4/22/2016,Staten Island,NY,10305,130,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,3/2/2015,Bronx,NY,10458,73,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,5/26/2017,Bronx,NY,10465,176,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,10/20/2017,Bronx,NY,10461,1172,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,6/2/2017,Bronx,NY,10461,899,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,1/29/2016,New York,NY,10013,16,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Elmhurst,NY,11373,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Elmhurst,NY,11373,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Elmhurst,NY,11373,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/8/2017,Elmhurst,NY,11373,20,Advance Repayment,Advance Repaymnt
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Oakland Gardens,NY,11364,125,Fundraising,Fundraising
2017,2115,"Eliseo,Santos",Corporation,9/19/2017,,,,50,Other,Other: explntion
2017,1752,"Abbey,Laurel-Smith",Corporation,8/8/2017,San Francisco,CA,94103,2,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,3/20/2017,San Francisco,CA,94103,200,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,3/22/2017,San Francisco,CA,94103,22,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,3/25/2017,San Francisco,CA,94103,60,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,3/28/2017,San Francisco,CA,94103,60,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,3/31/2017,San Francisco,CA,94103,60,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,5/17/2017,San Francisco,CA,94103,200,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,5/28/2017,San Francisco,CA,94103,200,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,6/9/2017,San Francisco,CA,94103,200,Printing Expenses,Print Ads
2017,1752,"Abbey,Laurel-Smith",Corporation,8/2/2017,San Francisco,CA,94103,198,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,8/8/2017,San Francisco,CA,94103,196,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,8/28/2017,San Francisco,CA,94103,100,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,9/28/2017,San Francisco,CA,94103,300,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,10/27/2017,San Francisco,CA,94103,300,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,11/28/2017,San Francisco,CA,94103,300,Campaign Literature,Campgn Lit.
2017,1752,"Abbey,Laurel-Smith",Corporation,12/22/2017,San Francisco,CA,94103,300,Campaign Literature,Campgn Lit.
2017,326,"Bill,de Blasio",Corporation,8/22/2017,New York,NY,10028,193,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,3/16/2015,Brooklyn,NY,11215,167,Other,Other: explntion
2017,2089,"Karmen,Smith",Corporation,7/19/2017,San Francisco,CA,94104,8,Other,Other: explntion
2017,2055,"Roque,De La Fuente",Corporation,7/10/2017,New York,NY,10001,42,Other,Other: explntion
2017,2055,"Roque,De La Fuente",Corporation,7/10/2017,New York,NY,10001,18,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/11/2017,New York,NY,10021,50,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Corporation,10/12/2017,New York,NY,10021,9,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Corporation,3/8/2017,Chicago,IL,60604,845,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Corporation,8/19/2016,Chicago,IL,60606,183,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,8/19/2016,Chicago,IL,60606,25,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Corporation,10/19/2016,Flushing,NY,11354,559,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2071,"Nicole,Malliotakis",Other,6/5/2017,Asbury Park,NJ,07712,245,Postal Expenses,Postage
2017,2071,"Nicole,Malliotakis",Other,5/20/2017,Asbury Park,NJ,07712,490,Postal Expenses,Postage
2017,2071,"Nicole,Malliotakis",Other,6/26/2017,Asbury Park,NJ,07712,490,Postal Expenses,Postage
2017,326,"Bill,de Blasio",Corporation,8/25/2017,Brooklyn,NY,11201,43,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,9/27/2017,Brooklyn,NY,11201,137,Office Expenses,Office Expenses
